thumb_rms,thumb_mav,thumb_wl,thumb_zc,thumb_ssc,thumb_var,index_rms,index_mav,index_wl,index_zc,index_ssc,index_var,middle_rms,middle_mav,middle_wl,middle_zc,middle_ssc,middle_var,ring_rms,ring_mav,ring_wl,ring_zc,ring_ssc,ring_var,little_rms,little_mav,little_wl,little_zc,little_ssc,little_var,label
510.7012782950263,510.69130434782613,69.20000000000027,0,28,10.187315689981096,511.66102484733585,511.65652173913037,52.40000000000032,0,21,4.608109640831741,508.9231589730718,508.9173913043479,51.60000000000025,0,19,5.870567107750439,508.16651156708554,508.16521739130434,29.400000000000205,0,27,1.3153119092627856,148.80967710468295,148.80869565217395,10.599999999999966,0,10,0.29209829867674536,0
513.7052343767649,513.695652173913,76.40000000000003,0,19,9.8447637051039,511.01662016705154,510.99130434782603,73.19999999999953,0,10,25.872967863894093,507.79862064644755,507.78695652173917,69.2000000000001,0,15,11.845916824196562,508.8721800729275,508.86956521739137,34.80000000000007,0,19,2.6612476370510567,148.76371401889526,148.7608695652174,14.200000000000045,0,9,0.8462948960302432,0
510.75807342147556,510.7260869565218,100.80000000000007,0,17,32.673667296786284,510.2829683872341,510.25217391304346,76.39999999999998,0,8,31.426843100189018,509.56575886601297,509.5478260869566,72.4000000000002,0,12,18.275538752362984,508.1780841569138,508.1739130434781,39.20000000000033,0,7,4.239319470699459,148.4246756702742,148.4217391304348,15.000000000000057,0,9,0.8717013232514165,0
506.05747912061645,506.0347826086957,88.59999999999957,0,20,22.970964083175783,512.0417960182208,512.0217391304348,56.000000000000625,0,11,20.539527410208013,511.8642185783937,511.83913043478276,73.80000000000024,0,12,25.682816635160737,507.2620787341975,507.2565217391305,42.40000000000049,0,13,5.637674858223059,148.22796192234506,148.22608695652173,10.600000000000051,0,4,0.5558412098298624,0
506.85969930801235,506.8434782608697,72.79999999999961,0,15,16.443327032136043,511.3750644309313,511.36086956521734,68.60000000000025,0,9,14.517599243856342,511.35539415404116,511.33043478260873,77.80000000000041,0,10,25.5255954631381,507.94408969971255,507.9391304347826,50.39999999999998,0,13,5.038034026465022,148.3013412821575,148.3,11.0,0,5,0.39782608695651733,0
507.6780664263868,507.65217391304355,62.599999999999795,0,11,26.28945179584117,512.7928601212232,512.7782608695653,67.19999999999993,0,9,14.972570888468768,509.221538872988,509.2,61.79999999999973,0,14,21.935652173913077,507.8639615864281,507.8608695652175,34.80000000000018,0,10,3.140642722117193,148.04884329166507,148.04782608695652,10.200000000000074,0,7,0.30119092627599003,0
508.0367078486939,508.004347826087,97.3999999999998,0,11,32.87911153119092,511.4434993657444,511.43043478260876,77.79999999999984,0,9,13.363421550094417,510.32479683126274,510.31304347826097,68.39999999999947,0,10,11.995916824196508,507.8077511951871,507.80434782608705,35.20000000000039,0,11,3.4565028355387266,148.31810408712755,148.31739130434786,10.00000000000017,0,10,0.211436672967863,0
508.35954496450813,508.34347826086963,99.39999999999986,0,8,16.33506616257089,510.7743635254051,510.76521739130436,74.79999999999984,0,8,9.34313799621924,510.6547689422652,510.64782608695657,70.39999999999992,0,8,7.090756143667243,507.74991105259,507.74782608695665,34.600000000000136,0,10,2.1172778827977443,148.37897718196206,148.37826086956522,12.200000000000017,0,9,0.21257088846880506,0
508.2248389802704,508.21739130434776,74.60000000000008,0,17,7.570132325141773,511.17687060691463,511.17391304347825,54.80000000000024,0,19,3.023667296786395,510.4067576559598,510.4043478260869,57.60000000000002,0,12,2.4599810964083066,507.67476665248216,507.67391304347825,23.60000000000025,0,16,0.8667107750472611,148.3310398780523,148.33043478260873,12.400000000000205,0,12,0.17950850661625511,0
509.220359748713,509.21304347826083,99.40000000000026,0,22,7.451134215500964,510.4498076079142,510.4478260869566,65.19999999999999,0,26,2.0229300567107855,510.47562902266645,510.4739130434783,70.20000000000027,0,24,1.7519281663516024,507.9395308070851,507.9391304347826,29.200000000000443,0,26,0.4067296786389443,148.53087513902696,148.5304347826087,12.40000000000012,0,16,0.13081285444234536,0
509.8594299028602,509.8521739130436,114.79999999999967,0,26,7.39901701323251,510.2372491643301,510.23478260869564,83.80000000000064,0,26,2.517051039697554,510.67594336372923,510.67391304347825,74.80000000000041,0,26,2.0736672967863967,508.1309160305905,508.1304347826085,28.799999999999443,0,24,0.4890737240075439,148.63508860702237,148.63478260869564,12.599999999999966,0,21,0.09096408317580319,0
510.4795605498133,510.4739130434783,116.99999999999926,0,29,5.765841209829824,510.016121654822,510.01304347826084,87.60000000000014,0,26,3.139829867674853,510.04645483225994,510.0434782608696,73.00000000000034,0,24,3.0363705103969605,508.28310238873087,508.2826086956521,34.19999999999965,0,24,0.5018714555765461,148.60019310655133,148.6,12.200000000000017,0,22,0.05739130434782526,0
510.3533388102626,510.3478260869565,101.19999999999976,0,26,5.626843100189013,509.877312608674,509.87391304347835,83.19999999999999,0,26,3.4667107750472623,510.47642282564783,510.4739130434783,74.60000000000048,0,27,2.5623629489603053,507.94845339300707,507.94782608695647,33.80000000000007,0,23,0.6372778827977265,148.61332668897907,148.61304347826086,14.20000000000013,0,22,0.08417769376181544,0
508.5766531939046,508.56521739130443,92.6000000000002,0,29,11.63183364839326,510.89010645105003,510.8869565217392,69.60000000000059,0,26,3.218525519848773,510.23738550327477,510.2347826086957,72.60000000000002,0,26,2.6561814744801624,507.8310134886108,507.83043478260873,37.59999999999985,0,31,0.5877693761814702,148.67864382766876,148.6782608695652,15.000000000000028,0,21,0.11387523629489583,0
509.33210230141844,509.31739130434795,106.1999999999997,0,35,14.98534971644615,511.03851126896495,511.0347826086957,82.60000000000014,0,34,3.8109640831758025,509.9815350451,509.9782608695653,71.5999999999998,0,27,3.3395274102079244,507.9658992320338,507.9652173913044,32.60000000000042,0,28,0.6927032136105966,148.67856194693533,148.67826086956526,12.000000000000142,0,24,0.08952741020793815,0
509.28767389620646,509.2826086956522,90.39999999999941,0,33,5.159262759924346,510.8722345166158,510.8695652173913,79.19999999999936,0,36,2.727334593572773,510.1852877397456,510.1826086956521,60.0,0,33,2.733610586011332,508.30949062639945,508.3086956521739,27.60000000000008,0,27,0.808185255198494,148.6132213674725,148.6130434782609,11.80000000000021,0,30,0.052873345935727144,0
508.9840887578861,508.9782608695653,80.19999999999976,0,27,5.932570888468819,510.52827115858526,510.52608695652174,60.99999999999926,0,28,2.2301890359168057,509.9979837982312,509.9956521739132,59.80000000000001,0,30,2.37824196597351,508.4397984969826,508.4391304347827,37.999999999999545,0,28,0.6793383742911093,148.63071541648918,148.6304347826087,12.800000000000011,0,19,0.08342155009451685,0
510.34901697802337,510.3434782608696,70.59999999999997,0,25,5.653327032136116,510.3928120660553,510.391304347826,59.39999999999992,0,26,1.539054820415883,509.93686309956655,509.93478260869574,61.20000000000027,0,24,2.1218336483931775,508.05732387972336,508.0565217391304,31.399999999999977,0,18,0.8150661625708849,148.76127067275914,148.76086956521743,11.799999999999898,0,14,0.11933837429111305,0
509.67819429433166,509.67391304347836,82.60000000000014,0,27,4.364102079395084,510.36207863079704,510.36086956521734,57.80000000000081,0,27,1.2341209829867952,510.67587865835037,510.67391304347825,60.400000000000546,0,26,2.0075803402646577,507.9399450979289,507.93913043478256,27.599999999999795,0,18,0.8275992438563224,148.83944369689107,148.83913043478262,11.000000000000085,0,18,0.09325141776937565,0
509.7489996151985,509.7434782608695,114.19999999999993,0,28,5.628979206049145,510.59804407057385,510.595652173913,78.00000000000051,0,26,2.442589792060501,511.11161292771,511.10869565217394,77.20000000000016,0,26,2.9820982986767546,508.5096561863724,508.50869565217397,42.40000000000009,0,23,0.9768809073724143,148.8222079033146,148.8217391304348,13.400000000000176,0,23,0.13952741020793843,0
